,r11,r12,r13,r21,r22,r23,r31,r32,r33,px,py,pz,gripper
1,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5,0
2,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.9567889327716198e-08,0.0,0.4999999951080277,0
3,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.5624911864891053e-07,0.0,0.4999999609377203,0
4,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,5.263495340043917e-07,0.0,0.4999998684126165,0
5,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.2452960889867686e-06,0.0,0.49999968867597777,0
6,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2.4276390557906355e-06,0.0,0.49999939309023606,0
7,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4.187054236262755e-06,0.0,0.49999895323644095,0
8,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,6.636345172952242e-06,0.0,0.49999834091370676,0
9,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,9.887445360160753e-06,0.0,0.49999752813865994,0
10,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.4051420454992662e-05,0.0,0.49999648714488626,0
11,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.9238470488405242e-05,0.0,0.4999951903823779,0
12,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2.5557932076258877e-05,0.0,0.49999361051698094,0
13,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.31182806303672e-05,0.0,0.4999917204298424,0
14,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4.20271325695473e-05,0.0,0.4999894932168576,0
15,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,5.239124753066993e-05,0.0,0.4999869021881173,0
16,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,6.431653057970971e-05,0.0,0.49998392086735505,0
17,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,7.790803442279513e-05,0.0,0.4999805229913943,0
18,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,9.326996161725901e-05,0.0,0.4999766825095957,0
19,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00011050566678268854,0.0,0.4999723735833043,0
20,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00012971765881197538,0.0,0.499967570585297,0
21,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.000151007603082366,0.0,0.4999622480992294,0
22,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00017447632366651182,0.0,0.4999563809190834,0
23,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00020022380554351934,0.0,0.49994994404861415,0
24,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00022834919681000032,0.0,0.4999429127007975,0
25,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0002589508108911222,0.0,0.4999352622972772,0
26,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00029212612875165775,0.0,0.4999269684678121,0
