,r11,r12,r13,r21,r22,r23,r31,r32,r33,px,py,pz,gripper
1,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5,0
2,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2.9351833991574296e-08,9.783944663858099e-09,0.4999999951080277,0
3,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2.343736779733658e-07,7.812455932445526e-08,0.4999999609377203,0
4,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,7.895243010065876e-07,2.6317476700219585e-07,0.4999998684126165,0
5,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.8679441334801527e-06,6.226480444933843e-07,0.49999968867597777,0
6,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.6414585836859535e-06,1.2138195278953178e-06,0.49999939309023606,0
7,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,6.280581354394133e-06,2.0935271181313776e-06,0.49999895323644095,0
8,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,9.954517759428364e-06,3.318172586476121e-06,0.49999834091370676,0
9,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.483116804024113e-05,4.9437226800803765e-06,0.49999752813865994,0
10,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2.1077130682488995e-05,7.025710227496331e-06,0.49999648714488626,0
11,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2.8857705732607863e-05,9.619235244202621e-06,0.4999951903823779,0
12,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.833689811438831e-05,1.2778966038129438e-05,0.49999361051698094,0
13,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4.96774209455508e-05,1.65591403151836e-05,0.4999917204298424,0
14,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,6.304069885432095e-05,2.101356628477365e-05,0.4999894932168576,0
15,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,7.858687129600489e-05,2.6195623765334966e-05,0.4999869021881173,0
16,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,9.647479586956457e-05,3.2158265289854855e-05,0.49998392086735505,0
17,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00011686205163419268,3.895401721139756e-05,0.4999805229913943,0
18,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00013990494242588852,4.6634980808629505e-05,0.4999766825095957,0
19,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00016575850017403281,5.525283339134427e-05,0.4999723735833043,0
20,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0001945764882179631,6.485882940598769e-05,0.499967570585297,0
21,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00022651140462354898,7.5503801541183e-05,0.4999622480992294,0
22,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00026171448549976774,8.723816183325591e-05,0.4999563809190834,0
23,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00030033570831527903,0.00010011190277175967,0.49994994404861415,0
24,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00034252379521500047,0.00011417459840500016,0.4999429127007975,0
25,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00038842621633668325,0.0001294754054455611,0.4999352622972772,0
26,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0004381891931274866,0.00014606306437582887,0.4999269684678121,0
27,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0004919577016605538,0.00016398590055351792,0.4999180070497232,0
28,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0005498754759515871,0.0001832918253171957,0.4999083540873414,0
29,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0006120850112754231,0.0002040283370918077,0.4998979858314541,0
30,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0006787275674826086,0.00022624252249420286,0.49988687873875287,0
31,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0007499431723159734,0.0002499810574386578,0.49987500947128066,0
32,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.00082587062472721,0.00027529020824240333,0.4998623548958788,0
33,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.000906647498193444,0.00030221583273114797,0.4998488920836344,0
34,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.000992410144033814,0.0003308033813446046,0.4998345983093277,0
35,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0010832936947260422,0.0003610978982420141,0.499819451050879,0
36,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0011794320672230138,0.00039314402240767126,0.4998034279887962,0
37,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0012809579662693507,0.0004269859887564502,0.49978650700562177,0
38,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0013880028877179848,0.0004626676292393283,0.49976866618538035,0
39,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0015006971218467363,0.0005002323739489121,0.49974988381302554,0
40,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.001619169756674888,0.0005397232522249627,0.4997301383738875,0
